0.066		0.0794	0.0635	1.0159
0.466		0.0635	0.0476	1.0159
0.866		0.0635	0.0476	1.0159
1.266		0.0635	0.0476	1.0159
1.666		0.0476	0.0635	1.0159
1.833		0.1111	0.0635	1.0000
2.066		0.0476	0.0635	1.0159
2.466		0.0635	0.0635	1.0000
2.866		0.0476	0.0476	1.0000
3.266		0.0635	0.0476	1.0000
3.666		0.0635	0.0476	1.0000
4.066		0.0794	0.0476	1.0000
4.466		0.0635	0.0635	1.0159
4.866		0.0476	0.0635	1.0159
5.266		0.0635	0.0476	1.0159
5.866		0.0476	0.0476	1.0159
6.266		0.0794	0.0635	1.0000
6.666		0.0635	0.0476	1.0159
7.066		0.0476	0.0635	1.0159
7.466		0.0476	0.0635	1.0159
7.866		0.0635	0.0635	1.0317
8.266		0.0952	0.0476	1.0159
8.666		0.0635	0.0794	1.0317
9.066		0.0635	0.0635	1.0159
9.466		0.0635	0.0635	1.0317
9.866		0.0794	0.0476	1.0159
10.266	0.0794	0.0635	1.0159
10.666	0.0794	0.0794	1.0000
11.066	0.0476	0.0476	1.0000
11.466	0.0476	0.0635	1.0159
11.866	0.0635	0.0476	1.0159
12.266	0.0635	0.0794	1.0000
12.666	0.0476	0.0635	1.0159
13.066	0.0635	0.0794	1.0159
13.466	0.0317	0.0635	1.0159
13.866	0.0476	0.0476	1.0317
14.266	0.0635	0.0476	1.0159
14.666	0.0794	0.0794	1.0317
15.066	0.0635	0.0635	1.0159
15.466	0.0635	0.0635	1.0000
15.866	0.0476	0.0476	1.0000

