0.198	0.2222	0.9683	0.0794
0.598	0.2063	0.9683	0.0635
0.998	0.2222	0.9524	0.0794
1.398	0.2381	0.9683	0.0952
1.798	0.2222	0.9683	0.0794
2.198	0.1905	0.9683	0.0794
2.598	0.2540	0.9683	0.0635
2.998	0.2381	0.9841	0.0476
3.398	0.2063	0.9683	0.0476
3.798	0.2063	0.9524	0.0952
4.198	0.2698	0.9841	0.0952
4.298	0.2063	0.9524	0.0794
4.698	0.2381	0.9524	0.0476
5.098	0.2381	0.9524	0.0635
5.498	0.2381	0.9683	0.0794
5.898	0.2222	0.9524	0.0794
6.298	0.2222	0.9683	0.0635
6.698	0.1905	0.9524	0.0794
6.898	0.2540	0.9841	0.0635
7.298	0.2381	0.9841	0.0635
7.698	0.2381	0.9683	0.0635
8.098	0.2381	0.9683	0.0635
8.498	0.2063	0.9683	0.0794
8.897	0.2222	0.9524	0.0794
9.297	0.2063	0.9683	0.0317
9.697	0.2381	0.9683	0.0794
10.097	0.2063	0.9841	0.0476
10.564	0.2222	0.9683	0.0635
10.964	0.2222	0.9841	0.0952
11.364	0.2381	0.9683	0.0794
11.764	0.2222	0.9683	0.0635
12.164	0.2222	0.9683	0.0635
12.564	0.2222	0.9365	0.0635
12.964	0.2063	0.9683	0.0794
13.364	0.2381	0.9683	0.0476
13.764	0.2222	0.9683	0.0317
14.164	0.2063	0.9841	0.0476
14.564	0.2063	0.9683	0.0476
14.964	0.2222	0.9683	0.0476
15.364	0.2381	0.9841	0.0635
