0.1980;0.0159;0.0000;1.0000;
0.5980;0.0159;-0.0159;0.9524;
0.9980;0.0159;-0.0159;0.9683;
1.3980;0.0000;-0.0159;0.9683;
1.7980;0.0159;-0.0159;0.9841;
2.1980;0.0159;-0.0159;0.9683;
2.5980;0.0000;0.0000;0.9841;
2.9980;0.0159;-0.0159;0.9841;
3.3980;0.0000;-0.0159;0.9841;
3.7980;0.0159;-0.0159;0.9683;
4.1980;0.0000;0.0159;0.9841;
4.5980;0.0000;0.0000;0.9841;
4.9980;-0.0159;-0.0317;0.9683;
5.3980;-0.0317;-0.0159;0.9841;
5.7980;0.0159;-0.0159;0.9524;
6.1980;-0.0159;-0.0159;0.9683;
6.5980;0.0159;0.0000;0.9683;
6.9980;0.0317;0.0000;0.9841;
7.1640;-0.0317;-0.0159;0.9683;
7.5640;0.0000;-0.0159;0.9841;
7.9640;-0.0317;0.0000;0.9683;
8.3640;-0.0159;-0.0159;0.9683;
8.7640;0.0159;-0.0317;0.9841;
9.1640;0.0000;-0.0159;0.9683;
9.5640;0.0000;0.0000;1.0000;
9.9640;0.0000;0.0000;0.9524;
10.3640;-0.0159;-0.0159;0.9841;
10.7640;0.0000;-0.0159;0.9841;
11.1640;-0.0159;0.0000;0.9683;
11.5640;0.0159;-0.0159;0.9841;
11.9640;0.0000;0.0000;0.9841;
12.3640;-0.0159;0.0159;0.9524;
12.7640;0.0000;0.0000;1.0000;
